epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1713.12,0.6128,0.66664,1.12789,0.38576,0.66415,0.4468,0.37515,1.13175,1.7232,1.67676,0.000297081,0.000297081,0.000297081
76,1735.55,0.60924,0.66751,1.12802,0.39397,0.68681,0.43576,0.35661,1.1323,1.78066,1.65759,0.000286083,0.000286083,0.000286083
77,1758.34,0.6194,0.66528,1.12657,0.3886,0.64754,0.44173,0.36592,1.13613,1.73453,1.71454,0.000275084,0.000275084,0.000275084
78,1780.22,0.61099,0.6693,1.12115,0.39633,0.66876,0.44752,0.38702,1.11395,1.61717,1.6724,0.000264085,0.000264085,0.000264085
79,1802.91,0.60522,0.66685,1.12381,0.38161,0.6518,0.44966,0.38575,1.08212,1.64779,1.64978,0.000253086,0.000253086,0.000253086
80,1825.51,0.60186,0.65983,1.11209,0.36392,0.66486,0.45327,0.38528,1.07859,1.65693,1.64588,0.000242087,0.000242087,0.000242087
81,1847.16,0.58355,0.63886,1.09529,0.39424,0.68112,0.43615,0.37693,1.10436,1.71431,1.65153,0.000231088,0.000231088,0.000231088
82,1870.13,0.59333,0.64266,1.10562,0.40097,0.60891,0.44562,0.37868,1.12109,1.68437,1.69312,0.000220089,0.000220089,0.000220089
83,1893.17,0.59622,0.65366,1.11577,0.38224,0.6742,0.45319,0.38507,1.09017,1.65663,1.68462,0.00020909,0.00020909,0.00020909
84,1915.32,0.56039,0.61752,1.09216,0.38057,0.67651,0.44019,0.37168,1.07405,1.74092,1.65032,0.000198091,0.000198091,0.000198091
85,1938.04,0.5774,0.62724,1.11406,0.39067,0.67536,0.45506,0.39052,1.08793,1.72669,1.67713,0.000187092,0.000187092,0.000187092
86,1961.05,0.56598,0.64503,1.09925,0.37985,0.69187,0.44956,0.38347,1.10643,1.77868,1.69712,0.000176094,0.000176094,0.000176094
87,1983.54,0.55725,0.62539,1.08624,0.37901,0.67207,0.46498,0.3987,1.11311,1.71649,1.70857,0.000165095,0.000165095,0.000165095
88,2005.81,0.56472,0.5979,1.09249,0.40362,0.61911,0.4318,0.37008,1.11657,1.78093,1.70852,0.000154096,0.000154096,0.000154096
89,2028.88,0.56332,0.64267,1.09264,0.38071,0.69795,0.44622,0.37657,1.0965,1.7243,1.68647,0.000143097,0.000143097,0.000143097
90,2051.93,0.55162,0.60574,1.08662,0.37519,0.66311,0.43708,0.3694,1.07939,1.71961,1.68718,0.000132098,0.000132098,0.000132098
91,2075.55,0.45602,0.54479,1.05481,0.37774,0.68962,0.43263,0.36425,1.08018,1.63063,1.66507,0.000121099,0.000121099,0.000121099
92,2097.92,0.45217,0.53536,1.05375,0.38358,0.70363,0.43908,0.37002,1.07481,1.57372,1.67512,0.0001101,0.0001101,0.0001101
93,2120.55,0.43236,0.52042,1.03504,0.37708,0.68751,0.44026,0.37264,1.05362,1.66071,1.63807,9.91012e-05,9.91012e-05,9.91012e-05
94,2142.19,0.43391,0.52727,1.05089,0.37585,0.68566,0.45959,0.39155,1.06996,1.66845,1.63889,8.81023e-05,8.81023e-05,8.81023e-05
95,2164.59,0.43325,0.51283,1.03726,0.37889,0.68566,0.46086,0.39099,1.06701,1.62548,1.67112,7.71034e-05,7.71034e-05,7.71034e-05
96,2187.08,0.42112,0.49373,1.02252,0.38574,0.67305,0.46319,0.39489,1.06056,1.66454,1.64199,6.61045e-05,6.61045e-05,6.61045e-05
97,2208.86,0.4263,0.50055,1.0312,0.39054,0.67896,0.4514,0.38133,1.06373,1.68112,1.66567,5.51056e-05,5.51056e-05,5.51056e-05
98,2231.32,0.4198,0.49421,1.01998,0.3909,0.68706,0.45155,0.38238,1.06596,1.67216,1.67063,4.41067e-05,4.41067e-05,4.41067e-05
99,2253.79,0.41201,0.4942,1.01183,0.40276,0.68316,0.44731,0.37826,1.0451,1.6465,1.64513,3.31078e-05,3.31078e-05,3.31078e-05
100,2275.67,0.40429,0.48865,1.01822,0.38939,0.68681,0.44925,0.37946,1.05107,1.67085,1.64425,2.21089e-05,2.21089e-05,2.21089e-05
